name,domain,year founded,industry,size range,city, state,country, linkedin url,current employee estimate,total employee estimate,Score,reviews,salaries,interviews,KMT,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio_5,price_sales,price_book,enterprise_value_revenue,enterprise_value_ebitda,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,revenue_per_share,quarterly_revenue_share,gross_profit,ebitda,net_income_avi_to_common,diluted_eps,quarterly_earnings_growth,total_cash,total_cash_per_share,total_dept,total_dept_per_equity,operating_cash_flow,leveraged_free_cash_flow,stock_beta_3y,stock 52_week,stock_sp500_52_week,stock_52_week_high,stock_52_week_low,website_rank,organic_traffic,traffic_cost
the one group,togrp.com,2004.0,hospitality,201 - 500,new york, new york, united states,linkedin.com/company/the-one-group,182,632,3.2,26.0,99,1,STKS,94130000.0,163060000.0,23.29,11.24,18.44,1.0,6.55,1.73,15.35,0.0441,0.0776,0.0614,0.4195,94290000.0,3.32,0.10800000000000001,20920000.0,10620000.0,4160000.0,0.14,,2050000.0,0.07,70590000.0,509.74,6010000.0,-579750.0,,0.0313,0.1325,4.0,1.87,161012,18.75K,$1.42K
hei,hei.fr,1885.0,higher education,501 - 1000,lille, hauts-de-france, france,linkedin.com/company/hei,208,438,3.2,25.0,38,4,HSIC,10020000000.0,12140000000.0,20.62,18.45,7.76,0.74,3.53,0.89,10.4,0.0367,0.06849999999999999,0.0751,0.1679,13570000000.0,90.87,0.065,3600000000.0,1170000000.0,593020000.0,3.31,0.157,75260000.0,0.51,1340000000.0,35.78,655480000.0,1310000000.0,0.78,0.0059,0.1325,72.81,56.58,N/A,N/A,N/A
amerisafe,amerisafe.net,1986.0,wholesale,11 - 50,aurora, illinois, united states,linkedin.com/company/amerisafe,13,26,2.9,24.0,16,2,AMSF,1290000000.0,1160000000.0,16.72,21.01,1.77,3.47,2.76,3.1,12.02,0.2077,0.2556,0.0377,0.16699999999999998,373100000.0,19.39,-0.022000000000000002,114070000.0,96300000.0,77480000.0,4.01,0.086,146830000.0,7.61,536000.0,0.11,90000000.0,135880000.0,0.54,0.0545,0.1325,71.99,50.45,N/A,N/A,N/A
assured guaranty,assuredguaranty.com,1985.0,financial services,201 - 500,new york, new york, united states,linkedin.com/company/assured-guaranty,225,509,4.1,24.0,30,5,AGO,4610000000.0,4560000000.0,14.05,14.17,4.34,5.06,0.7,5.01,,0.3879,0.6033,0.0253,0.0533,910000000.0,8.93,-0.24,985000000.0,,353000000.0,3.44,-0.5710000000000001,1370000000.0,14.38,1320000000.0,19.9,-255000000.0,-451120000.0,1.02,0.2051,0.1325,49.86,36.13,N/A,N/A,N/A
caduceus,caduceus.biz,2014.0,renewables & environment,1 - 10,jersey city, new jersey, united states,linkedin.com/company/caduceus,2,3,4.0,24.0,6,1,CSOC,110680.0,387540.0,,,,,,,,0.0,0.0,,,,,,,,-117610.0,-0.0,,,,55500.0,,-58820.0,,1.62,-0.29410000000000003,0.1325,0.0042,0.001,N/A,N/A,N/A
concurrent,cncrrnt.com,2009.0,information technology and services,1 - 10,london, greater london, united kingdom,linkedin.com/company/concurrent-development,2,2,2.7,23.0,39,10,CNC,22900000000.0,23780000000.0,17.14,11.44,0.83,0.33,1.86,0.35,7.41,0.0198,0.0379,0.0495,0.1162,68370000000.000015,165.63,0.18600000000000005,10630000000.0,3210000000.0,1350000000.0,3.23,4.0,7020000000.0,16.96,7830000000.0,62.95,1500000000.0,736880000.0,0.87,-0.1875,0.1325,74.49,41.62,N/A,N/A,N/A
greenville,greenville.it,2008.0,investment management,11 - 50,milano, lombardy, italy,linkedin.com/company/greenville,15,28,3.8,23.0,18,2,GVFF,11530000.0,15250000.0,42.64,,,1.7,1.07,2.24,,0.08070000000000001,0.0943,0.003,0.0253,6800000.0,3.2,0.046,6560000.0,,549000.0,0.26,-0.24100000000000002,15600000.0,7.34,7480000.0,,,,0.34,-0.0426,0.1325,11.7,9.76,N/A,N/A,N/A
acceleron pharma,acceleronpharma.com,2004.0,biotechnology,201 - 500,cambridge, massachusetts, united states,linkedin.com/company/acceleron-pharma,116,325,4.4,23.0,43,6,XLRN,2370000000.0,1980000000.0,,-21.36,,61.59,5.09,51.54,-13.78,0.0,-3.8385,-0.2152,-0.34700000000000003,38470000.0,0.76,0.292,-17160000.0,-143860000.0,-136020000.0,-2.68,,426070000.0,8.03,27810000.0,5.98,-106580000.0,-63630000.0,1.21,-0.1145,0.1325,56.91,37.01,N/A,N/A,N/A
rkl,rkl-consultants.org.uk,2002.0,architecture & planning,11 - 50,west yorkshire, kirklees, united kingdom,linkedin.com/company/rkl,21,23,3.5,23.0,54,8,BRKL,1270000000.0,2110000000.0,14.8,14.02,2.36,4.64,1.37,7.68,,0.3153,0.442,0.0115,0.0958,274920000.0,3.44,0.054000000000000006,267970000.00000003,,86670000.0,1.08,0.006,264540000.00000003,3.32,1090000000.0,,129530000.0,,0.88,0.079,0.1325,16.34,12.84,N/A,N/A,N/A
cbt,cbt.es,1996.0,marketing and advertising,201 - 500,getxo, basque country, spain,linkedin.com/company/cbt,157,196,4.1,23.0,62,6,CBTX,743200000.0,616800000.0,14.27,15.55,,4.98,1.4,4.14,,0.34869999999999995,0.4146,0.015700000000000002,0.1043,149130000.0,5.99,0.053,140670000.0,,51990000.0,2.07,0.004,271160000.0,10.78,140480000.0,,58350000.0,,1.1,-0.1368,0.1325,35.55,25.92,N/A,N/A,N/A
nutra,nutra.ir,2013.0,internet,1 - 10,tehran, tehrān, iran,linkedin.com/company/nutra,1,1,3.3,23.0,30,3,BLONF,8680000.0,8960000.0,,,,,,,,0.0,0.0,-0.5321,-3.2452,,,275.073,3580.0,,,-0.076,,,,,12.85,,,1.22,0.1653,0.1325,0.5266,0.0904,N/A,N/A,N/A
delta apparel,deltaapparel.com,1903.0,apparel & fashion,201 - 500,duluth, georgia, united states,linkedin.com/company/delta-apparel,180,405,2.5,22.0,17,,DLA,184250000.0,334660000.0,24.79,14.71,1.31,0.44,1.22,0.8,13.48,0.0188,0.032400000000000005,0.0232,0.0496,416700000.0,59.94,0.063,82020000.0,24820000.0,7830000.0,1.07,0.083,371000.0,0.05,150560000.0,100.18,8710000.0,514880.0,0.24,0.5056,0.1325,27.5,16.11,N/A,N/A,N/A
cnm,cnmsweden.com,2012.0,hospitality,51 - 200,coos bay, oregon, united states,linkedin.com/company/the-shortcut,37,39,4.6,22.0,12,4,CNMD,3220000000.0,3970000000.0,112.87,37.35,2.44,3.46,4.6,4.25,24.39,0.0315,0.098,0.0366,0.0433,932680000.0,33.01,0.155,469110000.0,162600000.0,29340000.0,1.01,0.19699999999999998,30070000.0,1.06,813510000.0,116.06,78960000.0,63190000.0,0.51,0.6289,0.1325,113.92,56.91,N/A,N/A,N/A
whitestone reit,whitestonereit.com,1998.0,commercial real estate,51 - 200,houston, texas, united states,linkedin.com/company/whitestone-reit,70,174,1.8,22.0,21,6,WSR,553070000.0,1190000000.0,34.72,57.29,,4.57,1.71,9.81,19.11,0.1354,0.29410000000000003,0.0215,0.0475,120970000.0,3.04,-0.121,84630000.0,62080000.0,15370000.0,0.4,-0.764,5540000.0,0.14,622440000.0,187.05,40770000.0,42160000.0,1.02,-0.0136,0.1325,14.65,11.5,N/A,N/A,N/A
atrio,atriosystems.com,2000.0,information technology and services,11 - 50,bloomfield hills, michigan, united states,linkedin.com/company/atrio-systems-inc-,22,46,3.0,22.0,8,1,ATRI,1400000000.0,1320000000.0,38.56,,,9.0,6.03,8.46,25.73,0.2343,0.2622,0.1052,0.1666,155530000.0,83.9,-0.01,71780000.0,51150000.0,36450000.0,19.57,0.040999999999999995,85010000.0,45.83,,,46710000.0,12640000.0,0.19,0.04190000000000002,0.1325,948.03,671.05,N/A,N/A,N/A
energy solutions,energy-solution.com,1995.0,renewables & environment,201 - 500,oakland, california, united states,linkedin.com/company/energy-solutions,183,335,3.4,22.0,50,9,HLX,1250000000.0,1620000000.0,36.45,20.54,0.25,1.69,0.75,2.2,10.02,0.0488,0.0796,0.0147,0.0217,739520000.0,5.02,0.0,121680000.0,162150000.0,35780000.0,0.23,0.16899999999999998,286450000.0,1.92,631000000.0,37.51,135790000.0,3750000.0,2.79,0.1319,0.1325,9.85,5.05,N/A,N/A,N/A
wills,wills.com.br,2007.0,marketing and advertising,11 - 50,sao paulo, sao paulo, brazil,linkedin.com/company/wills,4,6,2.8,22.0,19,5,WSC,1940000000.0,3600000000.0,,23.1,,1.85,2.91,3.43,22.78,-0.0288,0.1332,0.0312,-0.046,1050000000.0,9.81,0.244,289380000.0,158020000.0,-32430000.0,-0.3,,3950000.0,0.04,1730000000.0,252.76,120640000.0,27050000.0,,0.0797,0.1325,16.95,8.21,N/A,N/A,N/A
lexington,lex-usa.com,1984.0,entertainment,51 - 200,los angeles, california, united states,linkedin.com/company/lexington,90,196,3.8,22.0,7,4,LXP,2680000000.0,4390000000.0,11.93,77.36,4.83,8.15,1.82,13.32,16.8,0.6679999999999999,0.3259,0.0216,0.151,329480000.0,1.41,-0.187,352660000.0,261380000.0,213480000.0,0.91,-0.34299999999999997,126060000.0,0.51,1340000000.0,84.33,191070000.0,473360000.0,0.88,0.2843,0.1325,10.93,7.88,N/A,N/A,N/A
lark,larkmedia.co.uk,2010.0,media production,11 - 50,united kingdom, north carolina, united states,linkedin.com/company/lark,17,24,3.3,22.0,10,,LARK,106130000.0,134470000.0,10.78,,,2.46,1.0,3.12,,0.2289,0.2927,0.01,0.1022,43060000.0,9.85,0.135,40460000.0,,9860000.0,2.25,-0.135,25940000.0,5.93,55150000.0,,9290000.0,,0.6,-0.0273,0.1325,26.24,21.0,N/A,N/A,N/A
dp,dp1.fr,2007.0,marketing and advertising,501 - 1000,velizy-villacoublay, ile-de-france, france,linkedin.com/company/dp,284,300,5.0,22.0,7,3,ADP,73120000000.0,73460000000.0,31.11,24.38,1.84,5.09,13.66,5.12,20.59,0.165,0.2187,0.0522,0.4721,14360000000.0,33.09,0.055999999999999994,6390000000.0,3570000000.0,2370000000.0,5.43,0.152,4950000000.0,11.44,6430000000.0,119.92,2970000000.0,2090000000.0,0.88,0.1298,0.1325,174.5,121.4,N/A,N/A,N/A
foundry,thefoundry.co.uk,1996.0,computer software,201 - 500,london, greater london, united kingdom,linkedin.com/company/the-foundry,230,601,3.2,22.0,10,3,BLFDF,2350000.0,2590000.0,,,,,1.23,,,0.0,0.0,-0.9962,-2.5912,,,,-4290000.0,,,,,,,,,,,,-0.1593,0.1325,0.0624,0.0321,N/A,N/A,N/A
burn,burnmarketing.com,2005.0,marketing and advertising,51 - 200,surrey, surrey, united kingdom,linkedin.com/company/burn,36,62,3.8,22.0,10,,AUBN,146690000.0,73330000.0,15.66,,,4.9,1.52,2.45,,0.31620000000000004,0.4032,0.0116,0.1038,29910000.0,8.31,0.048,28890000.0,,9460000.0,2.63,0.11699999999999999,71640000.0,20.09,972000.0,,12830000.0,,0.4,0.0587,0.1325,47.51,27.94,N/A,N/A,N/A
proper,aproperhigh.com,2017.0,online media,11 - 50,los angeles, california, united states,linkedin.com/company/aproperhigh,6,9,4.0,22.0,9,1,BPR,1240000000.0,17190000000.0,170.45,,,0.79,1.81,10.94,18.69,0.0131,0.2957,0.0151,0.0127,1570000000.0,20.1,-0.253,1480000000.0,919960000.0,8680000.0,0.11,,189210000.0,2.62,14510000000.0,625.72,,,,0.0249,0.1325,21.19,14.93,293836,6.86K,$695
progressive,progressivepartnership.co.uk,1985.0,market research,201 - 500,edinburgh, edinburgh, united kingdom,linkedin.com/company/progressive,118,173,4.4,22.0,13,2,PGR,43190000000.0,47350000000.0,13.42,13.01,2.24,1.19,3.07,1.3,10.42,0.0872,0.1172,0.0534,0.2396,36290000000.0,62.19,0.122,3460000000.0,4550000000.0,3140000000.0,5.34,-0.09300000000000001,1510000000.0,2.59,4610000000.0,32.14,6220000000.0,7120000000.0,0.63,0.1231,0.1325,84.96,56.71,N/A,N/A,N/A
exfo,exfo.com,1984.0,telecommunications,1001 - 5000,simi valley, california, united states,linkedin.com/company/exfo,875,2236,3.5,170.0,89,32,EXFO,240480000.0,226670000.0,,12.43,2.55,0.84,1.4,0.79,10.16,-0.0086,0.0273,0.0174,-0.0141,286890000.0,5.19,0.013999999999999999,168520000.0,22320000.0,-2480000.0,-0.045,,19440000.0,0.35,10740000.0,6.22,17240000.0,17050000.0,1.47,0.17129999999999998,0.1325,4.97,2.74,292496,6.92K,$1.19K
crh,crh.com,1970.0,building materials,1001 - 5000,clondalkin, dublin, ireland,linkedin.com/company/crh,1868,3361,3.2,120.0,174,16,QCRH,646660000.0,691740000.0,11.96,11.5,1.17,3.05,1.25,3.27,,0.2589,0.3849,0.0109,0.1122,211780000.0,13.49,0.4320000000000001,171280000.0,,54830000.0,3.43,0.7140000000000001,288930000.0,18.29,325350000.0,,73520000.0,,0.82,0.1159,0.1325,42.4,30.15,226496,10.72K,$1.48K
nato,nato.int,1949.0,international affairs,5001 - 10000,brussels, brussels hoofdstedelijk gewest, belgium,linkedin.com/company/nato,2300,8661,4.6,110.0,82,33,VNTR,415600000.0,1220000000.0,,6.19,-0.35,0.19,0.5,0.57,-2.23,-0.0326,-0.3065,-0.1674,-0.0724,2150000000.0,20.19,-0.013000000000000001,354000000.0,-547000000.0,-70000000.0,-0.6609999999999999,,40000000.0,0.38,820000000.0,97.04,-60000000.0,-585370000.0,2.57,-0.3322,0.1325,7.24,1.85,11408,783.87K,$11.82K
tait,taitresources.com,2009.0,telecommunications,11 - 50,houston, texas, united states,linkedin.com/company/tait,7,10,2.6,67.0,77,13,TAIT,14850000.0,10340000.0,11.05,,,1.96,1.18,1.37,7.2,0.1796,0.1674,0.0587,0.1081,7570000.0,1.34,-0.17600000000000002,3620000.0,1440000.0,1360000.0,0.239,-0.35700000000000004,4100000.0,0.71,,,1510000.0,888500.0,1.66,0.4541,0.1325,7.65,1.63,N/A,N/A,N/A
moncler,monclergroup.com,1952.0,luxury goods & jewelry,1001 - 5000,milan, lombardy, italy,linkedin.com/company/moncler,771,1810,2.9,57.0,47,8,MONRF,10390000000.0,10220000000.0,,,,,,,,0.2277,0.0,0.1566,0.3632,,,0.155,1100000000.0,,,,0.136,,,,65.51,,,0.84,0.1678,0.1325,44.78,31.26,402717,3.99K,$225
magna,magna.cl,2009.0,program development,201 - 500,santiago, santiago metropolitan, chile,linkedin.com/company/magnasoftware,121,187,3.2,53.0,19,2,MGA,16950000000.0,21680000000.0,9.98,8.18,4.61,0.42,1.6,0.54,5.35,0.0443,0.0624,0.0592,0.1478,40170000000.0,125.02,-0.031,5770000000.0,4060000000.0,1780000000.0,5.53,,769000000.0,2.52,5310000000.0,48.8,3860000000.0,2190000000.0,1.52,0.1149,0.1325,57.09,42.51,N/A,N/A,N/A
funcom,funcom.com,1993.0,computer games,201 - 500,zurich, zurich, switzerland,linkedin.com/company/funcom,108,762,3.3,52.0,50,7,FCMKF,104260000.0,103830000.0,18.75,,,3.67,2.56,3.66,16.27,0.0466,0.063,0.0209,0.0287,28390000.0,0.46,-0.289,33780000.0,6380000.0,1320000.0,0.08,,16320000.0,0.21,4610000.0,10.24,15650000.0,-2510000.0,,-0.25,0.1325,2.23,1.39,97566,41.43K,$1.72K
blockchain,blockchain.com,2011.0,internet,201 - 500,london, london, united kingdom,linkedin.com/company/blockchain,170,213,3.7,48.0,13,33,RIOT,35570000.0,23420000.0,,,-0.09,4.81,1.3,3.17,-2.04,0.0,-1.5094999999999998,-0.2378,-1.3214,7400000.0,0.44,-0.265,2030000.0,-11510000.0,-28050000.0,-1.661,,15160000.0,0.61,938550.0,3.33,-16020000.0,-8430000.0,,-0.3229,0.1325,6.14,1.29,2522,4.68M,$25.93K
jacada,jacada.com,1990.0,computer software,51 - 200,atlanta, georgia, united states,linkedin.com/company/jacada,91,436,4.3,36.0,53,4,JCDAF,18200000.0,11640000.0,,,,1.24,5.35,0.79,-2.93,-0.311,-0.28350000000000003,-0.2571,-1.3029,14700000.0,3.24,0.645,8279999.999999999,-3980000.0,-4570000.0,-1.007,,6630000.0,1.14,,,-3820000.0,-1640000.0,0.52,-0.215,0.1325,5.0,2.29,N/A,N/A,N/A
fortive,fortive.com,2016.0,electrical/electronic manufacturing,501 - 1000,everett, washington, united states,linkedin.com/company/fortive,278,357,3.5,29.0,36,11,FTV,23840000000.0,29400000000.0,9.3,18.78,2.1,3.37,3.33,4.16,19.59,0.3757,0.1559,0.0452,0.1209,7080000000.0,21.1,0.162,3320000000.0,1500000000.0,717600000.0,7.64,-0.156,1060000000.0,3.16,6230000000.0,87.01,1240000000.0,1010000000.0,1.24,-0.0479,0.1325,89.48,62.89,150302,21.06K,$1.52K
icf international,icfi.com,1969.0,management consulting,5001 - 10000,fairfax, virginia, united states,linkedin.com/company/icf-international,3969,9443,2.9,27.0,35,3,ICFI,1630000000.0,2010000000.0,24.48,18.59,2.06,1.12,2.38,1.38,15.05,0.0468,0.0717,0.0504,0.1022,1460000000.0,77.58,0.12300000000000001,480460000.0,133600000.0,68250000.0,3.54,0.177,7450000.0,0.4,400800000.0,58.47,70680000.0,73700000.0,0.6,0.2154,0.1325,92.06,60.22,N/A,N/A,N/A
sopheon,budurl.com,1993.0,computer software,201 - 500,minneapolis, minnesota, united states,linkedin.com/company/sopheon,107,307,3.3,25.0,25,13,SPE,121900000.0,176730000.0,36.3,,,36.46,0.93,52.85,,1.5859999999999999,0.2305,0.0025,0.0275,3340000.0,0.39,0.12,3080000.0,,3360000.0,0.4,9.463,822900.0,0.1,,,16180000.0,1660000.0,0.91,0.0375,0.1325,14.4,11.22,N/A,N/A,N/A
bgi,jbryant.eu,2009.0,electrical/electronic manufacturing,201 - 500,houston, texas, united states,linkedin.com/company/bgi,188,217,3.6,25.0,21,,BBGI,80840000.0,358340000.0,7.46,5.27,-0.28,0.31,0.29,1.35,7.99,0.0406,0.1421,0.0331,0.0387,265030000.0,9.6,0.015,61740000.0,44840000.0,10760000.0,0.389,0.157,11900000.0,0.43,288570000.0,102.52,31870000.0,20070000.0,1.07,-0.4974,0.1325,5.99,2.8,N/A,N/A,N/A
galt,galt.com.pl,2010.0,law practice,51 - 200,warsaw, mazovia, poland,linkedin.com/company/galt,17,39,4.3,25.0,29,20,GALT,192500000.0,156140000.0,,-8.27,,,4.07,,,0.0,0.0,-0.2288,-0.3835,,,,,,-11700000.0,-0.354,,50340000.0,0.88,,,-9100000.0,-2800000.0,,-0.2426,0.1325,6.06,2.94,N/A,N/A,N/A
minerva,minerva-plm.com,1995.0,management consulting,501 - 1000,laurel, maryland, united states,linkedin.com/company/minerva,198,302,3.4,25.0,16,9,NERV,201760000.0,142930000.0,,-3.23,,,3.63,,-2.5,0.0,0.0,-0.2732,-0.7070000000000001,,,,,-57110000.0,-55470000.0,-1.42,,59930000.0,1.54,324140.0,0.58,-39050000.0,-18490000.0,1.48,-0.3747,0.1325,9.12,4.01,N/A,N/A,N/A
nes,ansaldo-nes.com,2003.0,oil & energy,201 - 500,sandwell, sandwell, united kingdom,linkedin.com/company/n-e-s,247,440,2.7,24.0,15,6,AAL,12550000000.0,42200000000.0,8.11,5.32,0.6,0.28,78.52,0.93,6.97,0.0352,0.08349999999999999,0.0416,,45390000000.0,100.9,0.03,12200000000.0,6060000000.0,1600000000.0,3.53,0.142,5170000000.0,11.8,34440000000.0,21525.0,3930000000.0,564120000.0,1.69,-0.2195,0.1325,40.58,24.23,N/A,N/A,N/A
agenus,agenusbio.com,1994.0,biotechnology,201 - 500,lexington, massachusetts, united states,linkedin.com/company/agenus,153,301,2.8,24.0,25,8,AGEN,517850000.0,463080000.0,,-2.6,,4.24,,3.8,-5.62,-1.0275,-0.7293999999999999,-0.3644,,122000000.0,0.93,0.5579999999999999,-87820000.0,-82440000.0,-125560000.0,-0.962,,93270000.0,0.68,23640000.0,,-22710000.0,-1030000.0,1.81,0.6986,0.1325,4.01,1.95,354736,4.96K,$104
uic,uic.dk,2013.0,education management,11 - 50,kastrup, capital region, denmark,linkedin.com/company/uic,10,31,4.1,24.0,20,2,QUIK,31210000.0,22970000.0,,24.6,-0.12,2.92,1.76,2.15,-1.61,-1.4472999999999998,-1.4512,-0.2833,-0.8632,10670000.0,0.1,-0.385,6330000.0,-14290000.0,-15450000.0,-0.155,,24720000.0,0.21,17090000.0,105.22,,,,-0.7395999999999999,0.1325,1.19,0.23,N/A,N/A,N/A
isf,isf.com.pk,1986.0,information technology and services,501 - 1000,islamabad, islamabad, pakistan,linkedin.com/company/isf,207,275,4.4,23.0,15,,SFBS,1960000000.0,1450000000.0,13.72,13.57,,7.04,2.42,5.2,,0.5184000000000001,0.6592,0.0175,0.1936,278650000.0,5.21,0.106,259970000.00000003,,144380000.0,2.67,0.087,974730000.0,18.19,447330000.0,,155090000.0,,1.33,-0.0136,0.1325,39.72,29.17,N/A,N/A,N/A
ste,ste-bv.com,2005.0,construction,501 - 1000,maarheeze, north brabant, netherlands,linkedin.com/company/ste,288,320,3.4,23.0,20,2,ADBE,142100000000.0,141700000000.0,52.23,30.11,1.94,13.35,13.9,13.31,39.73,0.261,0.2836,0.1064,0.2908,10640000000.0,21.84,0.237,7840000000.0,3570000000.0,2780000000.0,5.62,0.19,3650000000.0,7.54,4140000000.0,40.39,4150000000.000001,2850000000.0,1.08,0.2158,0.1325,313.11,204.95,N/A,N/A,N/A
cogstate,cogstate.com,1999.0,biotechnology,201 - 500,new haven, connecticut, united states,linkedin.com/company/cogstate,127,244,3.3,23.0,11,3,COGZF,26360000.0,24700000.0,,,,1.21,2.71,1.13,-8.38,-0.1143,-0.1577,-0.1132,-0.22899999999999998,21830000.0,0.19,-0.311,10020000.0,-2950000.0,-2500000.0,-0.021,,3220000.0,0.03,504980.0,4.99,372370.0,-416330.0,0.23,-0.3947,0.1325,0.53,0.14,N/A,N/A,N/A
arity,arity.com,2014.0,information technology and services,201 - 500,chicago, illinois, united states,linkedin.com/company/arity,135,175,3.6,23.0,27,10,PTE,87320000.0,40880000.0,,-1.05,-0.05,12.17,1.58,5.7,-0.31,0.0,-18.8074,,,7180000.0,0.26,0.924,1750000.0,-131570000.0,-127550000.0,-4.702,,45950000.0,1.71,4140000.0,7.91,-69220000.0,,,-0.7709999999999999,0.1325,18.17,2.1,N/A,N/A,N/A
neophotonics,neophotonics.com,1996.0,telecommunications,501 - 1000,san jose, california, united states,linkedin.com/company/neophotonics,281,561,2.7,22.0,60,3,NPTN,418250000.0,402380000.0,,43.35,,1.21,2.78,1.17,41.83,-0.0751,-0.0635,-0.0416,-0.1663,344550000.0,7.37,0.13,66340000.0,9620000.0,-25870000.0,-0.56,,71720000.0,1.49,66950000.0,44.63,28990000.0,33660000.0,1.64,0.0072,0.1325,8.73,3.26,436873,3.47K,$671
nsight,nsight.com,1910.0,telecommunications,201 - 500,green bay, wisconsin, united states,linkedin.com/company/nsight,119,217,3.8,22.0,65,7,NSIT,2230000000.0,3210000000.0,13.91,10.44,1.66,0.31,2.02,0.45,11.28,0.0228,0.0342,0.0473,0.1599,7180000000.0,201.81,0.094,993720000.0,284860000.0,163500000.0,4.54,-0.156,140550000.0,3.99,1130000000.0,102.3,214000000.0,-6140000.0,1.19,0.3656,0.1325,66.47,37.77,N/A,N/A,N/A
plano,plano.ca,2016.0,warehousing,11 - 50,gatineau, quebec, canada,linkedin.com/company/plano,17,25,3.8,22.0,10,1,ALTPF,3590000.0,4240000.0,,,,,,,,0.0,0.0,-0.0334,-0.1594,,,,,,,,,,,,,,,0.99,-0.5832999999999999,0.1325,0.15,0.049,N/A,N/A,N/A
rockford,rockford.co.uk,1978.0,defense & space,51 - 200,woodbridge, suffolk, united kingdom,linkedin.com/company/rockford-components-ltd,45,81,2.8,22.0,27,5,ROFO,63130000.0,109030000.0,15.83,,,0.93,14.86,1.61,13.57,0.1121,0.1062,0.2128,0.8703,67920000.0,8.91,0.07400000000000001,23630000.0,8029999.999999999,7610000.0,0.89,0.2,,,6160000.0,89.0,,,0.19,0.4498,0.1325,15.0,9.76,N/A,N/A,N/A
etr,etr.org,1981.0,program development,51 - 200,scotts valley, california, united states,linkedin.com/company/etrorg,88,230,4.2,22.0,11,1,AXAS,50550000.0,237040000.0,1.15,2.0,1.5,0.34,0.32,1.61,2.27,0.2982,0.3721,0.0911,0.3344,146960000.0,0.88,0.126,112840000.0,104620000.0,43820000.0,0.261,,1320000.0,0.01,186740000.0,121.24,77410000.0,-107980000.0,1.71,-0.8229000000000001,0.1325,1.87,0.26,9390,993.55K,$1.46K
tos,theoutdoorstylist.com,2010.0,design,11 - 50,london, greater london, united kingdom,linkedin.com/company/the-outdoor-stylist,23,28,2.8,22.0,19,3,APTO,129300000.0,108470000.0,,-4.54,,,4.96,,-5.38,0.0,0.0,-0.5204,-1.2008,,,,,-20160000.0,-24830000.0,-0.5529999999999999,,30210000.0,0.55,1640000.0,5.97,-20830000.0,-10800000.0,,0.19899999999999998,0.1325,3.13,1.57,N/A,N/A,N/A
cie,cie-mexico.com.mx,1990.0,entertainment,1001 - 5000,new york, chiapas, mexico,linkedin.com/company/cie,899,2267,4.0,22.0,12,19,ACHV,6930000.0,-45240.0,,-0.56,,,0.83,,0.0,0.0,0.0,-0.7434000000000001,-1.5097999999999998,,,,,-16770000.0,-16840000.0,-2.346,,7380000.0,0.91,,,-15340000.0,-9310000.0,,-0.5043,0.1325,4.63,0.83,N/A,N/A,N/A
thomson,tre.com.au,1879.0,real estate,201 - 500,murrumbeena, victoria, australia,linkedin.com/company/thomson,194,316,2.8,22.0,26,4,TRI,34640000000.0,36500000000.0,10.77,26.66,2.97,5.92,4.03,6.24,35.47,0.6207,0.1393,0.0238,0.0153,5850000000.0,10.41,0.1,1500000000.0,1030000000.0,159000000.0,6.44,,1200000000.0,2.4,3580000000.0,41.62,337000000.0,12370000000.0,0.34,0.3931,0.1325,71.28,46.45,N/A,N/A,N/A
mns,mns.com,2004.0,real estate,501 - 1000,new york, new york, united states,linkedin.com/company/mns,257,427,3.0,22.0,16,2,MNSB,179660000.0,128950000.0,12.75,11.89,,4.32,1.32,3.1,,0.3382,0.439,0.0123,0.1112,41560000.0,5.04,0.397,31280000.0,,14060000.0,1.71,0.578,72010000.0,8.89,24800000.0,,,,0.81,0.095,0.1325,25.5,16.62,N/A,N/A,N/A
twist bioscience,twistbioscience.com,2013.0,biotechnology,201 - 500,san francisco, california, united states,linkedin.com/company/twist-bioscience,141,211,3.7,22.0,31,14,TWST,713010000.0,566560000.0,,-8.31,,15.15,4.0,12.04,-6.22,-2.0463,-2.0611,-0.368,-0.7068000000000001,47050000.0,2.34,1.079,-6760000.0,-91030000.0,-96290000.0,-4.79,,161790000.0,4.98,8450000.0,4.8,-81280000.0,-62120000.0,,-0.1377,0.1325,35.95,13.99,161359,18.68K,$221
trex company,trex.com,1996.0,building materials,201 - 500,winchester, virginia, united states,linkedin.com/company/trex-company,242,504,3.7,21.0,11,8,TREX,5270000000.0,4990000000.0,39.07,30.52,1.48,7.31,12.32,6.93,26.63,0.1865,0.24170000000000005,0.2165,0.3574,720550000.0,12.31,0.16899999999999998,294890000.0,187520000.0,134410000.0,2.29,0.424,133280000.0,2.29,42620000.0,10.06,121740000.0,52420000.0,1.91,0.4703,0.1325,93.63,53.48,33575,191.45K,$17.26K
denison,lbys.com,1982.0,maritime,11 - 50,long beach, california, united states,linkedin.com/company/long-beach-yacht-sales,8,12,4.0,21.0,19,4,DNN,264410000.00000003,263950000.0,,-22.48,,,1.37,,,-1.9245,0.0,-0.0531,-0.1434,,,-0.067,-398000.0,,,-0.026,,,,,,,,,-0.2014,0.1325,0.6,0.38,N/A,N/A,N/A
